ID,EmployeeID,Timesheet Record Date,Topic,Working Hours,Category,Sub-Category,Detail
7912,3,8/25/2022,EPDK Hesap İzahnamesine Uyum Denetimi,2.5,İnceleme,Toplantı (Ekip İçi),Ekip içi toplantı
12244,2,2/28/2023,EDAŞ Saha Notları ve İş Emirleri Süreç Denetim,4,Rapor Yazımı,Taslak Rapor Değerlendirme,taslak rapor değerlendirme
11656,6,1/31/2023,Günlük Time Reportların ve Bulgu Tamamlanma Oranlarının Kontrolü,1,İdari,Diğer,Günlük Time Reportların ve Bulgu Tamamlanma Oranlarının Kontrolü
8540,15,9/13/2022,Özbekistan Santral Denetimi,7.5,Rapor Yazımı,Taslak Rapor Yazımı,rapor yazımı
6269,12,6/22/2022,Özbekistan Buhara Santrali Lojman Alımı,1.5,Rapor Yazımı,Taslak Rapor Değerlendirme,Soruşturma soruları hazırlandı
12340,5,3/1/2023,Malatya deprem gönüllüsü hizmeti,8.5,İdari,Diğer,Malatya deprem gönüllüsü hizmeti
8852,30,9/14/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,1,İnceleme,Toplantı (Şirket Yöneticileri),Yapılan analizlere ilişkin birimlerden görüş alınmıştır
13642,14,5/10/2023,Holding Teknik Satınalma Denetimi,8.5,Ön Hazırlık,Data Temini&Data Hazırlama,Holding Teknik Satınalma Denetimi
13420,12,4/27/2023,MTA Bağlantı Görüşü ve Stok Farkları,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,rapor kontrol edildi
4156,25,4/11/2022,İdari&Diğer,1.5,İdari,Diğer,Sunum Hazırlama
5636,30,5/31/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,0.5,İnceleme,Çalışma Kağıtlarının Kontrolü,"Diğer (Sigara, wc, gazete okuma, vb.)"
9472,9,10/20/2022,Doğalgaz 2022 yatırımları teknik denetim raporu + mola,8.5,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Doğalgaz 2022 yatırımları teknik denetim raporu + mola
1574,30,2/9/2022,Faturalandırma Denetimi (Jeneratör),7,İnceleme,Merkez'den Denetim,Fatura düzenlenmesi alt sürecinin incelenmesi
4426,6,4/19/2022,"Diğer (Sigara, wc, gazete okuma, vb.)",1,Diğer,Diğer Kişisel İşler,"Diğer (Sigara, wc, gazete okuma, vb.)"
12896,12,3/24/2023,Kişiler işler ve mola,1,Diğer,Diğer Kişisel İşler,Kişiler işler ve mola
6267,12,6/22/2022,EDAŞ Şirketleri Yüklenici Depoları Malzeme Yönetimi,2,Rapor Yazımı,Taslak Rapor Yazımı,Rapor yazılarak YG ye gönderildi
13064,3,4/11/2023,Düzce-Ereğli Doğalgaz Dağıtım A.Ş,5,İnceleme,Merkez'den Denetim,İç Tesisat Süreci
3546,21,3/25/2022,"THY Mevzuatı, EPSAŞ-EDAŞ Hukuki Ayrışması ve EPSAŞ Ana İş Kolu Dışındaki Faaliyetlerinin İncelenmesi (Rekabet Kanunu)",2,İnceleme,Merkez'den Denetim,Bölünme sözleşmesinin incelenmesi
1893,14,2/17/2022,MOLA,1,Diğer,Diğer Kişisel İşler,MOLA
575,13,1/4/2022,2022 Yılı Plan ve Bütçesinin Oluşturulması,4,İdari,Toplantı,2022 Yılı Plan ve Bütçesinin Oluşturulması
9821,7,11/3/2022,Turquality Destek Programları Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Kontrolü,Çalışma kontrolü
11063,5,12/29/2022,EDAŞ-Planlı Bakım Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Taslak rapor yazımı
7329,3,8/2/2022,İş Avanslarının Kullanımı  ve Yerel Satın Almaların İncelenmesi,4,İnceleme,Merkez'den Denetim,Yerel satın alma dosyalarının incelenmesi
8460,8,9/8/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
8070,25,8/29/2022,İdari&Diğer,8.5,İdari,Diğer,30 Ağustos Tatili
15311,29,8/8/2023,Ağrı Doğalgaz Dağıtım A.Ş.,8.5,İnceleme,Merkez'den Denetim,Stok hareket raporu üzerine çalısma
606,26,1/18/2022,Diğer,1,Diğer,Telefon&Mail Trafiği,Denetimlerle ilgili çeşitli görüşmeler
6611,12,7/1/2022,EDAŞ Şirketleri Yüklenici Depoları Malzeme Yönetimi,6.5,İnceleme,Toplantı (Ekip İçi),Denetim sonuçları üzerinden görüşüldü
10785,9,12/15/2022,AKSA Plaza İSG Denetimi 2022,4,İnceleme,Toplantı (Şirket Yöneticileri),Neslihan Kır ile İSG dökümanları üzerinden toplantı + mola
8502,27,9/14/2022,Yurt Dışı Fatura Kontrol Denetimi,0.5,Ön Hazırlık,Data Temini&Data Hazırlama,"Diğer (Sigara, wc, gazete okuma, vb.)"
3725,21,3/30/2022,EDAŞ - Elazığ Taşınan Sayaçların İncelenmesi,8.5,İnceleme,Sahada Denetim,Elazığ sayaç taşıma saha çalışması
7852,21,8/16/2022,Cookshop Şirket Denetimi,3,İnceleme,Merkez'den Denetim,Menü basımlarının incelenmesi
8494,1,9/15/2022,Garanti ve Müşteri Memnuniyeti Kapsamında Yapılan İade İşlemlerinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
12406,12,2/16/2023,Kayseri APC İddiaların İncelenmesi ve Stok Farklarının Araştırılması,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,Rapor kontrol edildi
2536,13,3/4/2022,Manisa Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,4,Rapor Yazımı,Taslak Rapor Yazımı,Taslak Raporun OLuşturulması
812,9,1/24/2022,Timereportların excele ve sisteme girilmesi,1,Diğer,Ortak Alan Çalışması,Timereportların excele ve sisteme girilmesi
10728,30,12/15/2022,Bulgu Takip Çalışmaları,3.5,İdari,Diğer,Bulgu Takip Çalışmaları
10425,9,11/30/2022,"Aksa Çukurova, Karadeniz, Ordu Giresun Doğalgaz Dağıtım A.Ş 2022 Yılı Yatırımları Denetimi",7.5,İnceleme,Çalışma Kağıtlarının Kontrolü,İç Mükemmeliyet Merkezinin dönüşlerine göre çalışma kağıtlarının ve rkm nin düzenlenmesi + mola
6362,1,6/24/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,2.5,BTS Sistem Girişi,Sisteme Bulgu Girişi,Bulguların sisteme girilmesi
14523,4,6/22/2023,EDAŞ Saha Operasyonları İSG Süreçleri Denetimi,7.5,İnceleme,Toplantı (Ekip İçi),"2022, 2023 yıllarında yapılan denetimler ve QDMS sisteminde açılan aksiyonların kontrolü, personel görev ve unvan bazında ayrıştırılarak mükerrer kayıtların incelenmesi."
13030,6,4/11/2023,Düzce-Ereğli Doğalgaz Dağıtım A.Ş,5,İnceleme,Merkez'den Denetim,"Afyon ve Düzce-Ereğli personellerin mesleki yeterlilik, isg belge kontrolleri"
13101,29,4/11/2023,Kayseri Otel Sayım,7.5,İnceleme,Sahada Denetim,Stok ve demirbaşların  örneklem yöntemiyle sayımlarının yapılması
13282,9,4/21/2023,Bayram tatili,8.5,İdari,Diğer,Bayram tatili
14449,29,6/29/2023,bayram tatili,8.5,İdari,Diğer,bayram tatili
1311,3,2/4/2022,Elazığ Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,2,İnceleme,Merkez'den Denetim,Faturalandırma Süreci İnceleme
12572,14,3/10/2023,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Bakım Dönemi İskele Kurum-Söküm-Kiralama İşleri Sözleşmesi İnceleme Raporu
11206,15,1/6/2023,Enerji Ticaret Süreçleri Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,smartpulse üzerinden oluşturulan faturaların detay kontrolünün yapılması
4738,26,4/28/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,Mola
10894,12,12/12/2022,Enerji Ticaret Süreçleri Denetimi,8.5,İnceleme,Toplantı (Ekip İçi),Güncel durum üzerinden görüşüldü
6141,8,6/14/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,3.5,Ön Hazırlık,Risk Kontrol Matrisinin Hazırlanması,"Risk kontrol matrisinin düzenlenmesi, doküman tarama, eski raporların okunması"
10467,12,11/28/2022,EDAŞ-Planlı Bakım Denetimi,8.5,İnceleme,Toplantı (Şirket Yöneticileri),Güncel durumun üzerinden görüşüldü.
4545,15,4/21/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,6.5,İnceleme,Merkez'den Denetim,Satın alma raporu ile e portal raporu sonucu SAS sonrası fatura giriş aşamasında carisi değiştirilmiş olan örneklerin detaylıca incelenmesi
1143,3,2/1/2022,Elazığ Doğalgaz Dağıtım A.Ş. Uzaktan Denetimi,2,İnceleme,Merkez'den Denetim,Faturalandırma Süreci İnceleme
5166,29,5/5/2022,Bayram Tatili,8.5,İdari,Diğer,Bayram Tatili
8658,30,9/21/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,4,İnceleme,Toplantı (Şirket Yöneticileri),Üretim Planlama - Batuhan Savaş ile bulguların değerlendirilmesi
2352,21,3/1/2022,"THY Mevzuatı, EPSAŞ-EDAŞ Hukuki Ayrışması ve EPSAŞ Ana İş Kolu Dışındaki Faaliyetlerinin İncelenmesi (Rekabet Kanunu)",0.5,Ön Hazırlık,Risk Kontrol Matrisinin Hazırlanması,Diğer Kişisel İşler
14315,8,6/1/2023,Gider Denetimi,8.5,İdari,Diğer,Gider Denetimi  rapor yazımı
8147,5,9/1/2022,Cookshop Şirket Denetimi,5,İnceleme,Merkez'den Denetim,Cari hesap açılışları incelenmiştir.
10612,21,12/8/2022,Bulgu Takip Çalışmaları,3.5,Bulgu Takip Çalışmaları,Bulgu Takip Çalışmaları,Bulgu Takip Çalışmaları
483,21,1/14/2022,Diğer Kişesel İhtiyaçlar,1,Diğer,Diğer Kişisel İşler,Gazete vb.
3444,9,3/24/2022,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)",1,Diğer,Diğer Kişisel İşler,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)"
1388,9,2/7/2022,Enerji Sektörü Denetimi,3,İnceleme,Toplantı (Şirket Yöneticileri),Kıbrıs Kalecik Enerji Santrali açılış toplantısı ve genel bilgilendirilme
7859,7,8/23/2022,Aksa Jeneratör Sanayi A.Ş. Yurt Dışı Fatura Kontrol Denetimi,1,İnceleme,Merkez'den Denetim,Çalışmaların kontrolü
7979,26,8/5/2022,evlilik izni,8.5,İdari,Diğer,evlilik izni
4508,26,4/20/2022,İhale Usulü Yapılan Satın Alma İşlemlerinin İncelenmesi,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,Mola
4446,9,4/19/2022,Doğalgaz Yatırımları Sözleşme Süre Uzatımları Denetimi,1,Ön Hazırlık,Toplantı (Ekip İçi),"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)"
8168,14,9/1/2022,Cookshop Şirket Denetimi,8.5,Rapor Yazımı,Taslak Rapor Yazımı,Rapor yazımı
7594,1,8/10/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
10594,11,12/7/2022,Enerji Ticaret Süreçleri Denetimi,7.5,Ön Hazırlık,Data Temini&Data Hazırlama,Enerji Ticareti ile ilgili departmanlar ile görüşülerek data temin edilmeye çalışılmaktadır. Bütçe haftaları olduğu için zorluk yaşanmaktadır.
5948,9,6/10/2022,Aksa Buhara Enerji Santrali denetimi dönüşü yol,5,İdari,Diğer,Aksa Buhara Enerji Santrali denetimi dönüşü yol
10979,3,12/26/2022,İdari,8.5,İdari,Diğer,Rkmlerin düzenlenmesi
149,3,1/6/2022,Diğer,3,Diğer,Sektörel Analiz Çalışmalarının Yapılması,2022 denetimlerine yönelik çalışmalar
7835,25,8/24/2022,İdari&Diğer,8.5,İdari,Diğer,YK Sunumu (Naci Ağbal)
10845,7,12/16/2022,Kur Farkı Zararları Denetimi,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,Rapor düzenleme
15028,9,7/20/2023,Doğalgaz Yatırımları İhale Süreçleri,2,İnceleme,Toplantı (Şirket Yöneticileri),Denetim raporu hakkında Arkon Danışmanlık ilgilileriyle toplantı
12248,14,2/13/2023,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi,8.5,Ön Hazırlık,Doküman Tarama,Ali Metin Kazancı Antalya D.G.K.Ç Santrali Bakım Süreçleri Teknik Denetimi
2615,16,3/8/2022,İdari İşler Süreç Denetimi,1,İnceleme,Merkez'den Denetim,RKM de belirtilen maddelerin gönderilen datalar ve görüşmeler ile kontrol edilmesi
8349,13,9/7/2022,Doğal Gaz Hukuk Süreçlerinin İncelenmesi,4,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),Hukuk Süreçleri Süreç Haritalandırma
8843,30,9/12/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,4,İnceleme,Çalışma Kağıtlarının Hazırlanması,Çalışma kağıdının düzenlenmesi Ahmet'ten gelen girişlerin eklenmesi
4582,8,4/21/2022,"Jeneratör Stok Sayım Sürecinin, Sayım Sonuçlarının ve  Sayım Farklarına İlişkin Alınan Aksiyonların İncelenmesi(Çerkezköy Fabrika)",0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Mola
11917,18,2/8/2023,EDAŞ-Planlı Bakım Denetimi,8.5,Ön Hazırlık,Doküman Tarama,2021 ve 202 bağlantı görüşlerinin incelenmesi + mola
13023,6,4/6/2023,"Diğer (Sigara, wc, gazete okuma, vb.)",1,İdari,Diğer,"Diğer (Sigara, wc, gazete okuma, vb.)"
12877,12,3/16/2023,EDAŞ Saha Notları ve İş Emirleri Süreç Denetim,8.5,Rapor Yazımı,Taslak Rapor Mutabakat Süreci,rapor kontrol edildi ve birim yöneticileri ile görüşüldü.
2830,14,3/10/2022,Kıbrıs Santral Güncelleme Toplantısı-Ekip İçi,0.5,İdari,Toplantı,Kıbrıs Santral Güncelleme Toplantısı-Ekip İçi
11938,21,2/13/2023,EDAŞ Saha Notları ve İş Emirleri Süreç Denetim,7,İnceleme,Çalışma Kağıtlarının Hazırlanması,Çalışma kağıtlarının hazırlanması
10209,8,11/21/2022,Departman Bazlı Personel Devir Oranları ve Analizleri,4,İnceleme,Toplantı (Ekip İçi),Ahmet Hayran ve Sevinç Arabacı ile rapor detayının konuşulması
14966,8,7/18/2023,İnsan Kaynakları ve Kültür Denetimi,8.5,İnceleme,Merkez'den Denetim,PDKS Kayıtları için çalışma ve İLknur Hanım ile görüşmeler
1406,30,2/7/2022,Diğer,1,Diğer,Diğer Kişisel İşler,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)"
6249,30,6/22/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,2.5,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),Süreç haritalandırma
8549,15,9/9/2022,Özbekistan Santral Denetimi,1,İnceleme,Çalışma Kağıtlarının Hazırlanması,mola
3182,2,3/17/2022,EDAŞ - Elazığ Taşınan Sayaçların İncelenmesi,1,Ön Hazırlık,Süreç Haritalandırma (Walkthrough),ön inceleme yapıldı
14088,15,6/7/2023,Lojistik Operasyonları Süreci Denetimi,8.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"7'li gider hesaplarının irdelenmesi, 2021-2022 satın alım detaylarının kontrolü"
440,26,1/13/2022,İdari İşler Süreç Denetimi,6,Ön Hazırlık,Risk Kontrol Matrisinin Hazırlanması,Risk kontrol matrisinin hazırlanması çalışmaları
1677,5,2/14/2022,EDAŞ - Üçüncü Şahıs Tazminat Ödemeleri,2,İnceleme,Merkez'den Denetim,Ödemelere ait belgeler temin edilerek kontrol edilmiştir
13734,11,5/17/2023,Stok Yönetimi ve Hurda Süreci Denetimi,7.5,Rapor Yazımı,Taslak Rapor Yazımı,Taslak rapor final hale geirilerek görüşe yollanmıştır.
6768,8,7/12/2022,Kurban Bayramı Tatili,8.5,Diğer,Diğer Kişisel İşler,Kurban Bayramı Tatili
7358,9,8/3/2022,Cookshop Şirket Denetimi,8.5,İnceleme,Toplantı (Şirket Yöneticileri),Cookshop Teknik Denetimi Kapsamında Saha Denetimi
1618,14,2/11/2022,KIBRIS SANTRAL TOPLANTI,1,İdari,Toplantı,KIBRIS SANTRAL TOPLANTI
13166,30,4/12/2023,Diğer,1.5,Diğer,Diğer Kişisel İşler,Mola vs
13609,2,5/8/2023,Gider Denetimi,8,İnceleme,Toplantı (Ekip İçi),incelmelerin yapılması
15026,15,8/3/2023,Bolu Göynük Santral Personel Servis Hakediş Süreçleri Denetimi,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,rapor ve bilgi notuna ilişkin düzeltmelerin tamamlanması
3805,26,3/31/2022,Enerji - Lojistik ve Gümrük Müdürlüğü İddialar,1.5,İnceleme,Toplantı (Ekip İçi),Toplantı ve rapor yazımı hakkında ekip içi toplantı
6522,26,6/30/2022,ATK Sigorta Denetimi,7.5,İnceleme,Çalışma Kağıtlarının Kontrolü,Çalışma kağıtları kontrolü
4587,9,4/22/2022,Doğalgaz Yatırımları Sözleşme Süre Uzatımları Denetimi,6.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Doğalgaz yatırımları denetimi (sözleşme süre uzatımları) çalışması
12412,12,2/23/2023,Hukuk Operasyonları Süreci Denetimi,8.5,İnceleme,Toplantı (Ekip İçi),Denetimin güncel durumu üzerinden görüşüldü
3129,8,3/17/2022,Tahsilat Denetimi (Jeneratör),2,İnceleme,Merkez'den Denetim,satış vade kontrolü
10371,1,11/28/2022,Departman Bazlı Personel Devir Oranları ve Analizleri,2,İnceleme,Toplantı (Ekip İçi),Taslak rapor üzerinden genel değerlendirme ve raporu düzenleme
6452,30,6/28/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,0.5,BTS Sistem Girişi,Sisteme Bulgu Girişi,Bulgu Girişi
15207,30,7/4/2023,Yurt Dışı Ofis Süreçleri Denetimi (SİNGAPUR),7,İnceleme,Merkez'den Denetim,İnceleme
10730,30,12/15/2022,Diğer,1,Diğer,Diğer Kişisel İşler,"Diğer (Sigara, wc, gazete okuma, vb.)"
7909,27,8/18/2022,Verilen Teminat Mektupları Denetimi,4,İnceleme,Merkez'den Denetim,Temin edilen verilen teminat mektupları listeleri ile banka listeleri karşılıklı olarak kontrolü
1304,6,2/4/2022,Denetim Paydaşları Anketi eksik kısımların doldurulması,1,İdari,Diğer,Denetim Paydaşları Anketi eksik kısımların doldurulması
3383,8,3/23/2022,Faturalandırma Denetimi (Jeneratör),1.5,İnceleme,Toplantı (Ekip İçi),Bulgular üzerinde çalışma taslak rapor yazımı
3996,9,4/6/2022,Holding İSG Denetimi,6.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,İSG Denetimine ait çalışma kağıtlarının hazırlanması
376,13,1/12/2022,Telefon&Mail Trafiği,1,Diğer,Telefon&Mail Trafiği,Telefon&Mail Trafiği
9162,9,10/7/2022,Aksa Ordu Giresun Doğalgaz Dağıtım A.Ş / Ordu-Çarşamba saha denetimi,8.5,Diğer,Sektörel Analiz Çalışmalarının Yapılması,Aksa Ordu Giresun Doğalgaz Dağıtım A.Ş / Ordu-Çarşamba saha denetimi
10479,5,12/2/2022,EDAŞ-Planlı Bakım Denetimi,8.5,İnceleme,Sahada Denetim,Malatya saha denetimi
8745,2,9/22/2022,Bingöl Merkez Arıza Çalışanları Hakkındaki İddialar,5,Rapor Yazımı,Taslak Rapor Yazımı,taslak rapor yazımı
11396,1,1/16/2023,Antalya İddialarının İncelenmesi ve Stok Sayımı,8.5,İnceleme,Sahada Denetim,Antalya APC incelemesine ilişkin çalışanlarla birebir görüşme yapıldı.
8404,9,9/9/2022,Cookshop Şirket Denetimi,8.5,İnceleme,Toplantı (Şirket Yöneticileri),Cookshop Saha Denetimi
6833,15,7/8/2022,resmi tatil,8.5,İdari,Diğer,resmi tatil
12415,12,2/27/2023,Hukuk Operasyonları Süreci Denetimi,8.5,Rapor Yazımı,Taslak Rapor Değerlendirme,Rapor kontrol edildi
4390,9,4/18/2022,Doğalgaz Yatırımları Sözleşme Süre Uzatımları Denetimi,1,Ön Hazırlık,Doküman Tarama,Bölgelerden gelen doğalgaz yatırım sözleşme ve eklerinin incelenmesi
6871,2,7/14/2022,resmi tatil,8.5,İdari,Diğer,resmi tatil
7007,1,7/12/2022,Resmi Tatil,8.5,İdari,Diğer,Resmi Tatil
3493,30,3/24/2022,Faturalandırma Denetimi (Jeneratör),3,Rapor Yazımı,Taslak Rapor Değerlendirme,Bulgulara ilişkin revize ve eklemelerin yapılması + M.Bal ile toplantı yapıldı
7186,1,7/28/2022,Üretim Planlama ve Malzeme Tedarik Sürecinin İncelenmesi,0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
1748,25,2/15/2022,Haftasonu Araç Kullanımları,1,İdari,Diğer,Haftasonu Araç Kullanımları
5933,1,6/9/2022,Çalışma Kağıtlarına Kontrol Sıklığı satırının eklenmesi,4,İdari,Diğer,Çalışma Kağıtlarına Kontrol Sıklığı satırının eklenmesi
15409,2,8/14/2023,Malzeme ve Depo Yönetim Süreci Denetimi,8,İnceleme,Toplantı (Ekip İçi),denetim bulguların değerlendirilmesi
15435,6,8/15/2023,Doğalgaz Sektörü Kredi Kartı Tahsilatlarının İncelenmesi,8.5,İnceleme,Merkez'den Denetim,Bölgelerin kredi kartı slip ve sözleşmeleri inceleme
11638,15,1/25/2023,Hukuk Operasyonları Süreci Denetimi,8.5,Ön Hazırlık,Data Temini&Data Hazırlama,hukuk süreçlerine ilişkin şirket yöneticileri ile toplantıların yapılması ve dış kaynak dokümanların incelenmesi
3474,1,3/24/2022,"Jeneratör Stok Sayım Sürecinin, Sayım Sonuçlarının ve  Sayım Farklarına İlişkin Alınan Aksiyonların İncelenmesi(Çerkezköy Fabrika)",0.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,"Diğer (Sigara, wc, gazete okuma, vb.)"
3342,13,3/18/2022,Ordu-Giresun Doğal Gaz Dağıtım A.Ş.,2.5,İnceleme,Merkez'den Denetim,Borçtan Gaz Kesme Süreci
9084,2,9/30/2022,Bingöl Merkez Arıza Çalışanları Hakkındaki İddialar,2.5,Rapor Yazımı,Taslak Rapor Yazımı,taslak rapor yazımı
8729,3,9/21/2022,EPDK Hesap İzahnamesine Uyum Denetimi,1.5,İnceleme,Çalışma Kağıtlarının Hazırlanması,Çalışma kağıtlarının hazırlanması
6384,30,6/27/2022,İdari,8.5,İdari,Diğer,İç Denetim Ekipleri İçin Rapor Yazımı Eğitimi
1820,3,2/16/2022,Diğer,0.5,Diğer,Diğer Kişisel İşler,Detay yoktur.
5006,16,5/16/2022,Aksa Satış ve Pazarlama A.Ş. Antalya Şubesi Olağan Denetim - Tam Kapsam,2.5,Rapor Yazımı,Risk Kontrol Matrisinin Doldurulması,"Çalışma kağıtları bulgularının belirlenmesi, RKM ye yazılması vb"
12549,2,3/14/2023,etik hat aramalar ve özet yazım,4.5,İdari,Diğer,etik hat aramalar ve özet yazım
3023,16,3/16/2022,İdari İşler Süreç Denetimi,1,İnceleme,Sahada Denetim,Sayım gerektiren maddeler için demirbaş ve malzeme sayımlarının yapılması
630,9,1/19/2022,Enerji Sektörü Denetimi,6,Ön Hazırlık,Doküman Tarama,Enerji denetimiyle ilgili genel çalışma
9869,6,11/4/2022,Günlük Time Reportların ve Bulgu Tamamlanma Oranlarının Kontrolü,1,İdari,Diğer,Günlük Time Reportların ve Bulgu Tamamlanma Oranlarının Kontrolü
2165,9,2/24/2022,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)",0.5,Diğer,Diğer Kişisel İşler,"Diğer-Diğer (Sigara, wc, gazete okuma, vb.)"
10361,6,11/28/2022,EPDK Hesap İzahnamesine Uyum Denetimi,2,Rapor Yazımı,Taslak Rapor Mutabakat Süreci,Ertunç Eriçok ile toplantı
12181,21,2/27/2023,Telefon ve mail trafiği,1,Diğer,Telefon&Mail Trafiği,Telefon ve mail trafiği
15250,8,8/30/2023,Yıllık İzin,8.5,Diğer,Diğer Kişisel İşler,Yıllık İzin
13572,6,5/4/2023,Gaz Açma ve Kapama Operasyonları Denetimi,8.5,Ön Hazırlık,Data Temini&Data Hazırlama,Data temini-data hazırlama-ilgili süreç sahipleriyle görüşme
6329,7,6/23/2022,Diğer,1,İdari,Diğer,Mola
9616,27,10/25/2022,Turquality Destek Programları Denetimi,0.5,Ön Hazırlık,Data Temini&Data Hazırlama,"Diğer (Sigara, wc, gazete okuma, vb.)"
7102,21,7/25/2022,Cookshop Şirket Denetimi,2.5,İnceleme,Merkez'den Denetim,Özlük dosyalarının kontrol edilmesi
13104,29,4/11/2023,Mola,1,İdari,Diğer,Mola
11731,6,2/2/2023,CRM ve ISU Yetkilendirme Süreci,5.5,İnceleme,Merkez'den Denetim,Personel olmayan kişilerde yetki olup olmadığının komtrolü
