Finding_ID,Finding Creation Date,Finding Status,Risk Type,Risk Severity,Probabilty,Effect,Audit Report Number
2021_058_008.001,1/27/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2021_058
2022_006_006.001,4/14/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk",Orta,2,2,2022_006
2023_022_025.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,4,3,2023_022
2022_014_005.003,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_014
2023_016_002.013,7/21/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2023_016
2021_007_005.004,4/24/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,3,2,2021_007
2023_016_003.006,7/21/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_016
2022_055_010.002,11/28/2022,Tamamlandı,Finansal Risk,Yüksek,3,3,2022_055
2021_022_002.001,7/6/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,1,2021_022
2021_008_008.001,3/15/2021,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Düşük,2,1,2021_008
2022_062_001.001,2/1/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_062
2021_037_002.001,12/1/2021,Tamamlandı,Operasyonel Risk - Dışsal Risk,Yüksek,3,3,2021_037
2022_063_002.003,3/20/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_063
2023_002_003.001,5/8/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2023_002
2022_046_001.001,1/4/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,4,2022_046
2022_010_002.001,4/20/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,2,2,2022_010
2022_052_007.001,12/19/2022,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Personel Kaynaklı Risk,Düşük,3,1,2022_052
2022_009_011.001,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_009
2022_051_006.002,11/28/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2022_051
2023_016_003.004,7/21/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_016
2022_053_003.002,12/27/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Yüksek,4,3,2022_053
2021_002_001.001,3/29/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,4,3,2021_002
2022_066_001.001,3/8/2023,Süreç Sahibine Atanan Bulgu,Finansal Risk,Yüksek,3,3,2022_066
2023_016_003.008,7/21/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_016
2021_034_001.001,8/31/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,4,3,2021_034
2021_002_002.001,3/29/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,4,2021_002
2021_058_032.001,1/27/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,2,2,2021_058
2021_037_006.012,12/6/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_037
2021_041_003.002,12/21/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2021_041
2022_053_006.001,12/27/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,3,2022_053
2022_030_002.001,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,1,3,2022_030
2023_013_003.003,5/7/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_013
2022_009_009.002,4/15/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_009
2021_036_014.001,10/4/2021,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,3,2021_036
2022_016_005.004,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,1,3,2022_016
2022_055_022.003,11/24/2022,Süreç Sahibine Atanan Bulgu,Finansal Risk,Orta,2,3,2022_055
2022_010_014.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_010
2021_058_034.001,1/27/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,3,2021_058
2021_002_007.002,3/29/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2021_002
2022_017_003.009,8/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2022_017
2022_040_004.001,11/2/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2022_040
2022_010_017.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_010
2023_008_001.006,4/11/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,4,2023_008
2022_020_003.002,7/18/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,2,1,2022_020
2023_022_004.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Orta,2,2,2023_022
2022_033_008.002,6/26/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,2,1,2022_033
2022_047_003.001,1/10/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_047
2023_022_022.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Orta,1,4,2023_022
2023_003_001.008,4/4/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,4,2023_003
2022_016_010.001,6/23/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_016
2023_022_012.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,4,3,2023_022
2021_007_001.003,4/24/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Kritik,4,4,2021_007
2022_051_004.001,11/28/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,4,2,2022_051
2022_012_001.003,6/15/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_012
2023_007_001.018,5/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,2,4,2023_007
2022_004_012.002,3/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2022_004
2021_054_001.010,3/15/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Dışsal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,4,2021_054
2021_037_006.010,12/3/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_037
2022_065_019.001,1/29/2023,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Düşük,3,1,2022_065
2022_065_014.002,1/29/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,2,2022_065
2021_007_005.001,4/24/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,3,2,2021_007
2022_014_011.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Düşük,3,1,2022_014
2022_055_016.002,11/28/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Orta,3,2,2022_055
2022_014_006.001,4/21/2022,Tamamlandı,Finansal Risk,Orta,1,4,2022_014
2021_007_006.001,4/24/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,4,1,2021_007
2022_004_006.002,3/18/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,1,3,2022_004
2021_037_006.003,12/3/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_037
2021_032_002.007,10/20/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_032
2021_058_016.001,1/27/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Stratejik Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,2,3,2021_058
2022_055_005.004,11/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Yüksek,3,3,2022_055
2023_016_002.008,7/21/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2023_016
2021_014_003.001,9/21/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_014
2021_003_003.001,3/15/2021,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2021_003
2021_003_004.001,3/15/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,2,2021_003
2021_003_015.002,3/15/2021,Tamamlandı,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Düşük,1,1,2021_003
2023_006_001.002,7/5/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2023_006
2022_065_017.001,1/29/2023,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Orta,2,2,2022_065
2023_013_002.004,5/7/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,3,2,2023_013
2022_009_006.001,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,2,2,2022_009
2021_025_001.001,7/6/2021,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,2,2021_025
2022_055_012.003,11/28/2022,Tamamlandı,Finansal Risk,Yüksek,3,3,2022_055
2022_009_015.001,4/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,1,2022_009
2022_032_005.001,6/24/2022,Tamamlandı,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_032
2021_043_005.003,1/3/2022,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,1,3,2021_043
2022_009_004.003,4/15/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2022_009
2022_010_001.001,4/20/2022,Tamamlandı,Finansal Risk,Yüksek,3,3,2022_010
2022_006_001.008,4/14/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_006
2022_053_003.001,12/27/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Yüksek,4,3,2022_053
2022_013_006.001,6/15/2022,Tamamlandı,Operasyonel Risk - Dışsal Risk,Orta,2,2,2022_013
2023_022_003.001,7/3/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,3,3,2023_022
2021_054_004.002,3/15/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2021_054
2023_016_002.015,7/21/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2023_016
2021_020_004.003,8/11/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_020
2022_004_019.001,3/21/2022,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,1,2022_004
2022_012_001.006,6/15/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2022_012
2022_016_007.001,6/23/2022,Tamamlandı,Finansal Risk,Orta,1,4,2022_016
2022_006_003.001,4/14/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk",Orta,2,2,2022_006
2021_042_002.003,12/30/2021,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_042
2022_063_004.010,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2022_063
2022_055_022.002,11/24/2022,Süreç Sahibine Atanan Bulgu,Finansal Risk,Orta,2,3,2022_055
2021_044_005.001,1/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_044
2023_022_013.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,3,4,2023_022
2023_020_002.006,7/9/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2023_020
2023_025_002.002,8/4/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2023_025
2022_017_003.004,8/10/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2022_017
2022_056_007.004,11/22/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,3,2022_056
2022_055_005.003,11/23/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Yüksek,3,3,2022_055
2021_004_008.001,3/15/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,3,2021_004
2021_054_006.001,3/7/2022,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2021_054
2022_006_008.001,4/14/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,2,2022_006
2023_022_029.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Kritik,4,4,2023_022
2021_028_002.001,9/17/2021,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Yüksek,3,3,2021_028
2023_005_002.005,5/19/2023,Tamamlandı,Finansal Risk,Yüksek,4,3,2023_005
2022_016_001.002,6/23/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,2,2022_016
2022_009_021.002,4/18/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,1,2022_009
2022_063_003.009,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2022_063
2021_054_001.009,3/15/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Dışsal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,4,2021_054
2022_017_001.008,8/10/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Kritik,4,4,2022_017
2022_016_020.002,6/23/2022,Tamamlandı,Finansal Risk,Düşük,1,1,2022_016
2022_063_001.001,3/8/2023,Süreç Sahibine Atanan Bulgu,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,3,2022_063
2022_027_001.001,9/30/2022,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Yüksek,4,3,2022_027
2022_035_003.001,9/14/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,3,2,2022_035
2023_022_027.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Yüksek,3,4,2023_022
2021_054_001.008,2/28/2023,Denetim Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Dışsal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Yüksek,3,4,2021_054
2021_032_007.001,10/20/2021,Tamamlandı,"Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Orta,2,2,2021_032
2021_027_004.001,9/13/2021,Tamamlandı,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Düşük,1,1,2021_027
2022_020_001.003,7/18/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,3,2,2022_020
2022_055_006.001,11/25/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Yüksek,4,3,2022_055
2022_063_003.010,3/9/2023,Tamamlandı,"Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk,Uyum Riski - Prosedürlere Uyum Risk",Orta,3,2,2022_063
2021_041_005.001,12/21/2021,Süreç Sahibi Yöneticisinin Onayında Bekliyor,"Finansal Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Orta,2,2,2021_041
2022_066_005.001,3/8/2023,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Yüksek,2,4,2022_066
2022_014_012.001,4/21/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Operasyonel Risk - Süreç Dizaynı Kaynaklı Risk",Düşük,1,1,2022_014
2021_004_003.004,3/15/2021,Tamamlandı,"Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Operasyonel Risk - Personel Kaynaklı Risk",Orta,2,2,2021_004
2021_058_027.001,1/27/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Uyum Riski - Prosedürlere Uyum Risk",Yüksek,3,3,2021_058
2022_060_001.001,11/30/2022,Süreç Sahibine Atanan Bulgu,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk",Yüksek,3,3,2022_060
2023_022_020.001,7/4/2023,Süreç Sahibine Atanan Bulgu,Operasyonel Risk - Bilgi Sistemleri Kaynaklı Risk,Orta,1,3,2023_022
2023_018_003.002,7/25/2023,Tamamlandı,"Finansal Risk,Operasyonel Risk - Personel Kaynaklı Risk,Uyum Riski - Yasal Regulasyonlara Uyum Riski",Düşük,1,2,2023_018
2022_053_002.002,12/27/2022,Tamamlandı,"Finansal Risk,Operasyonel Risk - Dışsal Risk",Yüksek,4,3,2022_053
